ALO Lidar Data on 20190701

UT (hour) for each column
  23.4000   23.5000   23.6000   23.7000   23.8000 
Altitudes (km) for each row
   80.000    80.500    81.000    81.500    82.000    82.500    83.000    83.500    84.000    84.500    85.000    85.500    86.000    86.500    87.000    87.500    88.000    88.500    89.000    89.500    90.000    90.500    91.000    91.500    92.000    92.500    93.000    93.500    94.000    94.500    95.000    95.500    96.000    96.500    97.000    97.500    98.000    98.500    99.000    99.500   100.000   100.500   101.000   101.500   102.000   102.500   103.000   103.500   104.000   104.500   105.000   105.500   106.000   106.500   107.000   107.500   108.000   108.500   109.000   109.500   110.000   110.500   111.000   111.500   112.000   112.500   113.000   113.500   114.000   114.500   115.000 

Na Density (cm^(-3))
   186.80    184.90    186.36    183.67    183.48 
   185.01    183.60    184.60    183.60    180.78 
   183.77    183.33    181.59    180.46    180.24 
   181.49    179.98    180.32    177.67    180.38 
   177.26    176.30    177.21    176.39    177.58 
   175.49    174.70    173.07    174.27    174.78 
   174.52    171.66    171.36    172.22    171.09 
   170.87    168.29    169.42    169.94    168.62 
   168.25    165.58    166.97    167.13    166.74 
   167.66    164.51    166.21    164.43    162.83 
   167.68    166.01    164.64    162.80    162.87 
   167.76    166.96    161.58    161.55    165.46 
   169.66    167.37    162.91    164.06    169.12 
   171.97    169.24    166.64    166.68    169.95 
   170.75    169.02    166.02    166.23    168.08 
   168.29    166.21    163.86    164.69    166.19 
   167.23    164.83    164.07    164.81    166.67 
   167.36    165.51    164.33    164.38    166.87 
   167.80    165.68    165.22    164.74    167.35 
   167.49    166.35    166.42    166.95    167.36 
   164.62    165.74    165.29    165.56    165.28 
   163.73    162.56    162.47    162.97    162.53 
   161.96    160.64    159.79    159.02    159.13 
   157.14    155.68    156.69    154.93    155.70 
   154.59    152.90    152.55    152.04    152.79 
   153.22    150.58    150.30    151.09    150.14 
   150.60    148.87    149.22    149.40    147.96 
   149.58    150.30    146.52    145.77    146.03 
   149.57    149.00    143.25    146.46    144.59 
   149.84    148.91    144.86    149.26    144.70 
   150.21    150.53    148.93    155.27    147.68 
   152.77    153.86    154.69    158.04    149.13 
   157.04    152.93    154.68    157.75    151.89 
   153.71    149.74    152.14    155.47    153.37 
   151.25    150.23    148.33    148.61    146.75 
   146.30    147.80    145.41    143.94    144.04 
   145.65    145.03    143.77    140.20    142.26 
   147.25    142.73    138.02    140.92    139.19 
   148.29    151.50    141.32    145.58    138.31 
   144.44    149.01    142.11    142.53    135.92 
   155.92    143.69    134.00    133.27    133.26 
   147.35    138.39    148.19    145.14    145.49 
   138.82    144.78    153.07    141.30    143.92 
   154.21    156.62    146.90    135.66    141.71 
   155.11    150.32    140.65    139.56    150.91 
   154.79    149.95   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 

Temperature Error (K)
     8.57      8.71      7.92      7.71      8.70 
     6.33      6.34      6.46      6.07      6.95 
     4.86      5.23      5.66      5.63      6.08 
     3.65      4.04      4.46      4.95      5.22 
     3.23      3.40      3.43      3.62      3.86 
     3.15      3.26      3.15      2.96      3.00 
     3.21      3.16      3.12      2.90      2.90 
     3.23      3.17      3.17      2.89      3.02 
     3.15      3.19      3.21      2.84      3.03 
     3.06      3.23      3.19      2.89      2.97 
     3.02      3.20      3.09      2.85      2.94 
     2.99      3.05      3.09      2.74      2.87 
     2.92      3.00      2.99      2.68      2.74 
     2.90      2.98      2.90      2.63      2.66 
     2.92      2.88      2.90      2.61      2.58 
     2.86      2.86      2.88      2.59      2.57 
     2.82      2.81      2.83      2.55      2.58 
     2.85      2.79      2.83      2.50      2.52 
     2.82      2.91      2.86      2.49      2.52 
     2.78      2.97      2.82      2.51      2.53 
     2.73      2.92      2.81      2.52      2.51 
     2.59      2.82      2.81      2.47      2.43 
     2.42      2.60      2.60      2.35      2.29 
     2.36      2.38      2.38      2.21      2.22 
     2.42      2.39      2.39      2.17      2.26 
     2.52      2.53      2.49      2.21      2.32 
     2.63      2.61      2.60      2.29      2.41 
     2.70      2.75      2.71      2.41      2.48 
     2.67      2.84      2.76      2.49      2.53 
     2.71      2.76      2.80      2.55      2.57 
     2.72      2.75      2.83      2.52      2.57 
     2.69      2.72      2.81      2.47      2.56 
     2.78      2.80      2.77      2.46      2.58 
     2.95      3.00      2.87      2.60      2.64 
     3.17      3.27      3.10      2.82      2.78 
     3.39      3.62      3.27      3.00      2.96 
     3.61      3.85      3.41      3.41      3.16 
     3.84      4.12      3.85      4.02      3.49 
     4.12      4.59      4.43      4.68      4.05 
     4.79      5.39      5.20      5.48      4.59 
     6.24      6.41      6.06      6.14      5.28 
     7.05      7.00      6.89      6.33      5.92 
     7.38      7.33      7.19      6.18      5.98 
     7.30      7.95      7.44      6.47      6.09 
     7.67      8.45      8.05      7.62      6.66 
     8.82      9.06      8.22      8.27      6.93 
    10.24     12.00      9.45      9.44      8.00 
    11.27     13.05     11.46     10.54      9.01 
    14.94     13.25     11.56     10.13     12.52 
    13.96     14.15     19.85     14.64     16.57 
    14.84     19.73     30.32     18.63     19.00 
    19.59     23.24     33.17     30.28     29.66 
    20.00     25.02     34.55     27.88     29.33 
    24.27     30.96    101.01     51.72    147.92 
    65.50     53.24     52.73     82.04    153.10 
    67.39     87.14     72.96    371.58    430.16 
   146.82    446.38    286.39    567.10    567.10 
   767.54    767.54    767.54   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   1746.11   1746.11 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 

Vertical Wind (m/s)
  -999.00   -999.00   -999.00   -999.00   -999.00 
    -5.77     -4.59   -999.00     -5.01   -999.00 
    -8.60     -3.35     -5.46     -3.54     -1.47 
    -9.16     -4.30     -5.12     -4.35     -1.92 
    -9.46     -7.50     -6.65     -6.14     -5.43 
    -7.75     -7.75     -7.85     -6.24     -7.53 
    -6.23     -5.91     -8.30     -8.27     -8.26 
    -4.16     -4.37     -6.64     -7.42     -7.22 
    -0.71     -2.46     -4.60     -6.22     -6.19 
    -1.59     -2.02     -5.09     -7.20     -5.47 
    -2.27     -3.37     -4.77     -5.82     -5.84 
    -1.74     -1.53     -3.26     -6.26     -6.41 
    -2.04     -0.45     -2.44     -6.56     -5.55 
    -2.42     -2.71     -1.63     -4.92     -4.85 
    -1.96     -3.37     -2.03     -3.22     -2.75 
    -0.07     -0.09     -0.68     -3.00     -1.63 
     1.76      2.72      1.68     -1.31      0.02 
     1.76      3.59      1.91     -0.54      1.79 
     1.21      3.66      1.67     -2.06     -0.20 
     0.33      1.81      2.39     -1.87     -1.91 
    -0.34      1.06      0.98     -3.09     -2.61 
    -2.55     -0.38      1.02     -3.00     -0.57 
    -1.31     -0.08      0.29     -3.26      0.60 
    -0.24      0.46      0.09     -3.13      0.47 
    -0.17     -0.23      1.26     -3.12     -1.25 
     1.42      0.07     -0.47     -4.82     -1.85 
     1.79      0.49     -1.26     -5.89     -1.14 
     0.19     -0.76     -1.35     -6.19     -0.47 
    -1.12     -2.15     -1.24     -4.45     -0.02 
     0.47      0.13      1.34     -3.84     -0.30 
     0.65      1.02      2.96     -2.72      1.23 
     1.54      2.14      2.49     -0.22      3.94 
     4.37      3.71      3.54      1.34      6.58 
     4.25      4.90      5.09      1.86      6.37 
     3.68      4.47      4.95      2.53      5.68 
     2.22      2.55      4.99      3.49      6.55 
     2.59      4.06      4.91      0.62      8.62 
     2.88      4.60      5.20      2.54     12.28 
     3.50      7.83      8.09      1.17      9.18 
     4.07      6.07      7.49     -1.66      5.72 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 
  -999.00   -999.00   -999.00   -999.00   -999.00 

Vertical Wind Error (m/s)
     6.61      6.49      6.12      6.16      6.70 
     4.94      5.00      5.09      4.90      5.40 
     3.65      4.02      4.43      4.47      4.76 
     2.60      2.97      3.40      3.88      4.12 
     2.26      2.41      2.52      2.80      2.98 
     2.23      2.30      2.29      2.19      2.26 
     2.28      2.29      2.28      2.12      2.18 
     2.32      2.34      2.33      2.15      2.26 
     2.32      2.39      2.38      2.16      2.32 
     2.29      2.42      2.40      2.20      2.32 
     2.27      2.41      2.39      2.21      2.30 
     2.29      2.36      2.39      2.18      2.23 
     2.29      2.36      2.37      2.16      2.17 
     2.31      2.37      2.37      2.13      2.16 
     2.34      2.36      2.40      2.14      2.15 
     2.35      2.39      2.41      2.16      2.18 
     2.36      2.39      2.41      2.17      2.21 
     2.39      2.41      2.42      2.17      2.22 
     2.37      2.46      2.47      2.19      2.22 
     2.33      2.48      2.50      2.23      2.18 
     2.25      2.44      2.47      2.21      2.10 
     2.11      2.33      2.39      2.12      2.01 
     1.98      2.14      2.22      2.01      1.93 
     1.96      2.00      2.07      1.91      1.90 
     2.03      2.04      2.07      1.87      1.92 
     2.11      2.14      2.14      1.92      1.97 
     2.19      2.21      2.22      1.98      2.04 
     2.25      2.31      2.30      2.05      2.10 
     2.28      2.38      2.37      2.13      2.17 
     2.32      2.38      2.44      2.22      2.25 
     2.36      2.42      2.51      2.27      2.31 
     2.42      2.48      2.55      2.29      2.36 
     2.55      2.61      2.61      2.34      2.43 
     2.74      2.85      2.76      2.50      2.54 
     3.00      3.14      3.02      2.74      2.73 
     3.26      3.42      3.26      3.00      2.96 
     3.47      3.67      3.50      3.37      3.21 
     3.68      3.94      3.89      3.82      3.53 
     3.94      4.32      4.33      4.23      3.97 
     4.47      4.97      4.81      4.85      4.44 
     5.59      6.02      5.64      5.54      5.01 
     6.55      6.73      6.59      5.89      5.60 
     7.02      7.02      7.08      6.09      5.95 
     7.24      7.67      7.41      6.61      6.18 
     7.72      8.36      8.12      7.55      6.72 
     8.73      9.23      8.95      8.17      7.32 
    10.07     10.77      9.98      9.32      8.55 
    11.30     12.50     11.67     10.47      9.76 
    13.06     13.27     12.64     11.58     12.52 
    13.55     14.59     17.55     14.38     15.71 
    15.18     17.53     22.60     16.90     19.58 
    17.01     18.90     24.33     23.18     24.02 
    18.71     21.79     25.47     26.33     38.58 
    22.01     27.18     52.01     33.81     60.26 
    41.63     36.27     56.47     59.59     85.54 
    59.90     56.72     69.48    194.87    170.15 
   114.84    251.92    134.05    228.71    213.46 
   173.54    278.38    220.41   -999.00   -999.00 
