He,O,N2,O2,Ar,TotMassDen,Tn,alt_km,lat,lon,hour,TotNumDen,potential_temperature
1782391600000000.0,6393058800000000.0,2.5961234e+20,6.7578179e+19,3.0765592e+18,1.5860998e-05,196.04,81.0,-31.17,-70.81,2016-11-05 00:00:00,3.302752536504e+20,19395.712195734366
1645430800000000.0,8747282300000000.0,2.3918908e+20,6.2164048e+19,2.8323246e+18,1.4607972e-05,195.5,81.5,-31.17,-70.81,2016-11-05 00:00:00,3.041958453131e+20,20186.536533730254
1518820400000000.0,1.1807244e+16,2.2030832e+20,5.7162127e+19,2.6065471e+18,1.344978e-05,194.98,82.0,-31.17,-70.81,2016-11-05 00:00:00,2.800903201644e+20,21229.023316736737
1401832900000000.0,1.5722611e+16,2.0286174e+20,5.2543374e+19,2.3979301e+18,1.2379767e-05,194.48,82.5,-31.17,-70.81,2016-11-05 00:00:00,2.578201685439e+20,21517.721355196587
1293781300000000.0,2.0654429e+16,1.8674712e+20,4.8280356e+19,2.2052523e+18,1.1391645e-05,194.0,83.0,-31.17,-70.81,2016-11-05 00:00:00,2.372546765103e+20,21998.414569665754
1194025100000000.0,2.6769951e+16,1.7186892e+20,4.4347469e+19,2.0273704e+18,1.0479542e-05,193.54,83.5,-31.17,-70.81,2016-11-05 00:00:00,2.182717233761e+20,21792.290256552285
1101964400000000.0,3.4235914e+16,1.5813785e+20,4.0720778e+19,1.8632176e+18,9.6379699e-06,193.09,84.0,-31.17,-70.81,2016-11-05 00:00:00,2.007571834784e+20,22515.25930920082
1017037700000000.0,4.3210206e+16,1.4547034e+20,3.7377885e+19,1.7117934e+18,8.8617926e-06,192.65,84.5,-31.17,-70.81,2016-11-05 00:00:00,1.846042456437e+20,23065.871447534875
938721610000000.0,5.3833026e+16,1.3378842e+20,3.4297873e+19,1.572166e+18,8.1462158e-06,192.23,85.0,-31.17,-70.81,2016-11-05 00:00:00,1.6971323074761002e+20,23836.63695829955
866524820000000.0,6.6217169e+16,1.2301892e+20,3.1461164e+19,1.4434604e+18,7.4867462e-06,191.83,85.5,-31.17,-70.81,2016-11-05 00:00:00,1.5599062809382e+20,24755.980324198117
799993020000000.0,8.0438948e+16,1.1309412e+20,2.8849615e+19,1.3248671e+18,6.8792187e-06,191.44,86.0,-31.17,-70.81,2016-11-05 00:00:00,1.4334984104102e+20,25377.19302291746
738700020000000.0,9.6530086e+16,1.0395069e+20,2.6446254e+19,1.2156286e+18,6.3197399e-06,191.06,86.5,-31.17,-70.81,2016-11-05 00:00:00,1.3170984138602e+20,25419.391054641
682250920000000.0,1.1447081e+17,9.5529748e+19,2.4235319e+19,1.1150412e+18,5.8046858e-06,190.69,87.0,-31.17,-70.81,2016-11-05 00:00:00,1.2099526126092e+20,25510.43976307517
630277120000000.0,1.3418559e+17,8.7776476e+19,2.2202144e+19,1.0224497e+18,5.3306876e-06,190.33,87.5,-31.17,-70.81,2016-11-05 00:00:00,1.1113588556712e+20,25761.982567849816
582436020000000.0,1.5554136e+17,8.0639819e+19,2.0333057e+19,9.3724337e+17,4.8945985e-06,189.98,88.0,-31.17,-70.81,2016-11-05 00:00:00,1.0206624316602e+20,27425.080515381007
538410490000000.0,1.7834934e+17,7.4072603e+19,1.8615442e+19,8.5885856e+17,4.4935155e-06,189.64,88.5,-31.17,-70.81,2016-11-05 00:00:00,9.372579131049e+19,28311.103036692042
497904720000000.0,2.0236816e+17,6.8030853e+19,1.7037537e+19,7.8676984e+17,4.1247276e-06,189.31,89.0,-31.17,-70.81,2016-11-05 00:00:00,8.605802590471999e+19,29083.865373638582
460645610000000.0,2.2731118e+17,6.2473859e+19,1.5588458e+19,7.2049025e+17,3.7857246e-06,188.99,89.5,-31.17,-70.81,2016-11-05 00:00:00,7.901057907561002e+19,29533.335927697015
426378950000000.0,2.5285548e+17,5.736387e+19,1.4258105e+19,6.5956919e+17,3.4741772e-06,188.67,90.0,-31.17,-70.81,2016-11-05 00:00:00,7.253482604894999e+19,30193.238495064532
394868020000000.0,2.7865117e+17,5.2665688e+19,1.303708e+19,6.0358536e+17,3.1879122e-06,188.36,90.5,-31.17,-70.81,2016-11-05 00:00:00,6.658539939802e+19,30841.914272441347
365886350000000.0,3.0432778e+17,4.8345689e+19,1.191643e+19,5.5213811e+17,2.9248558e-06,188.06,91.0,-31.17,-70.81,2016-11-05 00:00:00,6.111895077634999e+19,31582.145413733746
339224940000000.0,3.2950838e+17,4.4372916e+19,1.0887905e+19,5.0485781e+17,2.6830953e-06,187.79,91.5,-31.17,-70.81,2016-11-05 00:00:00,5.609552641494e+19,32683.665542569546
314694400000000.0,3.5382604e+17,4.0719322e+19,9.9440425e+18,4.6140995e+17,2.4608992e-06,187.53,92.0,-31.17,-70.81,2016-11-05 00:00:00,5.147891518439999e+19,33404.981379456025
292120930000000.0,3.7693286e+17,3.735921e+19,9.0779924e+18,4.2148799e+17,2.2566794e-06,187.3,92.5,-31.17,-70.81,2016-11-05 00:00:00,4.723591537093e+19,34735.50155109686
271346170000000.0,3.985118e+17,3.4269172e+19,8.2835188e+18,3.8481265e+17,2.0689895e-06,187.11,93.0,-31.17,-70.81,2016-11-05 00:00:00,4.333628659617e+19,34700.23938857439
252224400000000.0,4.1828439e+17,3.1427684e+19,7.5548862e+18,3.5112735e+17,1.8965005e-06,186.96,93.5,-31.17,-70.81,2016-11-05 00:00:00,3.9752234164400005e+19,36337.51387111745
234622570000000.0,4.3601804e+17,2.8815139e+19,6.8868664e+18,3.2019802e+17,1.7380015e-06,186.86,94.0,-31.17,-70.81,2016-11-05 00:00:00,3.645845608257e+19,36617.04794414202
218418060000000.0,4.5152929e+17,2.6413471e+19,6.274633e+18,2.9180911e+17,1.592377e-06,186.81,94.5,-31.17,-70.81,2016-11-05 00:00:00,3.343166081806e+19,37483.22230713459
203498080000000.0,4.6468591e+17,2.4206078e+19,5.7137623e+18,2.6576237e+17,1.4586037e-06,186.81,95.0,-31.17,-70.81,2016-11-05 00:00:00,3.0650492078079996e+19,38635.55667312185
189758790000000.0,4.7540728e+17,2.217771e+19,5.2001754e+18,2.4187557e+17,1.335742e-06,186.88,95.5,-31.17,-70.81,2016-11-05 00:00:00,2.809535800879e+19,39629.68830255341
177104490000000.0,4.836628e+17,2.03143e+19,4.7301199e+18,2.199808e+17,1.2229267e-06,187.02,96.0,-31.17,-70.81,2016-11-05 00:00:00,2.574824060449e+19,42239.98897374799
165446890000000.0,4.8946691e+17,1.8602892e+19,4.3001281e+18,1.9992305e+17,1.1193614e-06,187.23,96.5,-31.17,-70.81,2016-11-05 00:00:00,2.359257550689e+19,41695.376866685205
154704570000000.0,4.9287643e+17,1.7031547e+19,3.9070065e+18,1.8155931e+17,1.0243139e-06,187.52,97.0,-31.17,-70.81,2016-11-05 00:00:00,2.161314394457e+19,42688.125157540104
144802340000000.0,4.9398367e+17,1.5589233e+19,3.5478054e+18,1.6475739e+17,9.3710804e-07,187.91,97.5,-31.17,-70.81,2016-11-05 00:00:00,1.979592426234e+19,43425.474225733364
135670590000000.0,4.9291031e+17,1.4265761e+19,3.2197939e+18,1.4939499e+17,8.5712054e-07,188.38,98.0,-31.17,-70.81,2016-11-05 00:00:00,1.812799587059e+19,45034.302274608744
127245490000000.0,4.8980357e+17,1.3051748e+19,2.920459e+18,1.353593e+17,7.8377798e-07,188.96,98.5,-31.17,-70.81,2016-11-05 00:00:00,1.659749711549e+19,46072.59920232695
119467590000000.0,4.8482594e+17,1.1938481e+19,2.6474648e+18,1.2254538e+17,7.165487e-07,189.65,99.0,-31.17,-70.81,2016-11-05 00:00:00,1.519343658759e+19,47471.81684879331
