He,O,N2,O2,Ar,Tn,alt_km,lat,lon,hour,potential_temperature
581330330000000.0,1.581315e+17,7.9964859e+19,2.0197384e+19,9.2905633e+17,186.17,88.0,-31.17,-70.81,2016-10-31 00:00:00,0.0016958333163257175
536419100000000.0,1.8090036e+17,7.3272308e+19,1.8446957e+19,8.4919221e+17,185.96,88.5,-31.17,-70.81,2016-10-31 00:00:00,0.0017240646745318115
495118930000000.0,2.0475695e+17,6.7119516e+19,1.6840132e+19,7.7579912e+17,185.81,89.0,-31.17,-70.81,2016-10-31 00:00:00,0.001878222081254529
457156320000000.0,2.2939446e+17,6.1465831e+19,1.5366016e+19,7.0839102e+17,185.7,89.5,-31.17,-70.81,2016-10-31 00:00:00,0.0018720433811779567
422275250000000.0,2.5447257e+17,5.6273225e+19,1.401443e+19,6.4651346e+17,185.65,90.0,-31.17,-70.81,2016-10-31 00:00:00,0.001942417418600216
390238980000000.0,2.7963037e+17,5.1506521e+19,1.2775958e+19,5.8974656e+17,185.66,90.5,-31.17,-70.81,2016-10-31 00:00:00,0.002082752240784741
360828620000000.0,3.0450102e+17,4.7133244e+19,1.1641894e+19,5.3770142e+17,185.72,91.0,-31.17,-70.81,2016-10-31 00:00:00,0.0020097845693043265
333839120000000.0,3.2872085e+17,4.312289e+19,1.0604069e+19,4.9001361e+17,185.84,91.5,-31.17,-70.81,2016-10-31 00:00:00,0.0022065313442869855
309080710000000.0,3.5194484e+17,3.9447262e+19,9.6549512e+18,4.4634623e+17,186.02,92.0,-31.17,-70.81,2016-10-31 00:00:00,0.0020649257416477003
286375330000000.0,3.7385361e+17,3.6079931e+19,8.7874525e+18,4.0638293e+17,186.25,92.5,-31.17,-70.81,2016-10-31 00:00:00,0.0021671511073695724
265557960000000.0,3.9416468e+17,3.2996395e+19,7.9950246e+18,3.6983077e+17,186.54,93.0,-31.17,-70.81,2016-10-31 00:00:00,0.0023469651700946193
246474600000000.0,4.1263744e+17,3.0173783e+19,7.2715536e+18,3.3641603e+17,186.89,93.5,-31.17,-70.81,2016-10-31 00:00:00,0.0023218828438771994
228983010000000.0,4.2907912e+17,2.7590982e+19,6.6113959e+18,3.0588616e+17,187.3,94.0,-31.17,-70.81,2016-10-31 00:00:00,0.0024055162764754366
212951110000000.0,4.4334645e+17,2.5228404e+19,6.009317e+18,2.780066e+17,187.77,94.5,-31.17,-70.81,2016-10-31 00:00:00,0.0024770828840825127
198256560000000.0,4.5534494e+17,2.3067881e+19,5.4604661e+18,2.525598e+17,188.29,95.0,-31.17,-70.81,2016-10-31 00:00:00,0.002512452406806879
184786510000000.0,4.6502858e+17,2.1092655e+19,4.9603703e+18,2.2934505e+17,188.88,95.5,-31.17,-70.81,2016-10-31 00:00:00,0.0024994082341786754
172436710000000.0,4.7239723e+17,1.9287279e+19,4.5049036e+18,2.0817693e+17,189.53,96.0,-31.17,-70.81,2016-10-31 00:00:00,0.002539617608096807
161111090000000.0,4.774901e+17,1.7637464e+19,4.0902583e+18,1.888843e+17,190.25,96.5,-31.17,-70.81,2016-10-31 00:00:00,0.002688493753393103
150721140000000.0,4.8038206e+17,1.6130086e+19,3.7129282e+18,1.7130932e+17,191.03,97.0,-31.17,-70.81,2016-10-31 00:00:00,0.0028117150116938527
141185490000000.0,4.8117807e+17,1.4753048e+19,3.3696898e+18,1.5530679e+17,191.88,97.5,-31.17,-70.81,2016-10-31 00:00:00,0.0027658848476171272
132429320000000.0,4.8000647e+17,1.3495223e+19,3.0575783e+18,1.4074275e+17,192.79,98.0,-31.17,-70.81,2016-10-31 00:00:00,0.0028126604503844257
124384080000000.0,4.770146e+17,1.2346413e+19,2.7738762e+18,1.2749439e+17,193.78,98.5,-31.17,-70.81,2016-10-31 00:00:00,0.0030322479474177923
116986830000000.0,4.7236122e+17,1.1297235e+19,2.5160823e+18,1.1544848e+17,194.84,99.0,-31.17,-70.81,2016-10-31 00:00:00,0.003110158579455335
110179940000000.0,4.6621265e+17,1.0339076e+19,2.2819061e+18,1.045011e+17,195.97,99.5,-31.17,-70.81,2016-10-31 00:00:00,0.003192036021881954
103910830000000.0,4.5873951e+17,9.4640804e+18,2.0692537e+18,9.4557004e+16,197.18,100.0,-31.17,-70.81,2016-10-31 00:00:00,0.0031964514645765694
98131371000000.0,4.5011037e+17,8.6650219e+18,1.8762047e+18,8.5528725e+16,198.47,100.5,-31.17,-70.81,2016-10-31 00:00:00,0.0031910838574493814
92797684000000.0,4.4049047e+17,7.9353019e+18,1.7010033e+18,7.733598e+16,199.85,101.0,-31.17,-70.81,2016-10-31 00:00:00,0.00332208913869381
87870023000000.0,4.3003934e+17,7.2689011e+18,1.5420488e+18,6.9905472e+16,201.3,101.5,-31.17,-70.81,2016-10-31 00:00:00,0.003508361908322989
